Tanggal,No Faktur,Nama Supplier,Jenis Pembelian,Deadline,Kode Obat,Nama Obat,Tgl.Expired,Jumlah,Harga Beli,Diskon,Pajak,Nilai Total,Total Transaksi
10/1/2024,01441/PJ/01/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,9/2/2024,OK066,ANASTAN FORTE TAB,1/8/2026,10,"3233,98","0,00%","0,00%","32339,80"," 411.951,42"
,,,,,vs039,CALCIFAR PLUS KAP,1/10/2026,10,"1974,90","10,00%","0,00%","17774,10",
,,,,,OK067,NYSTATIN DROP 15ML,1/9/2025,2,"19970,01","10,00%","0,00%","35946,02",
,,,,,OK068,CATAFLAM 50MG,1/4/2026,50,"6650,85","2,00%","0,00%","325891,50",
12/1/2024,INV-42003/2401 /52418,SJI (SEMARANG JAYA INTERNUSA),HUTANG,13/01/2024,OL041,BIOPLACENTON 15G,1/6/2025,5,"26000,00","20,00%","11,00%","115440,00","506.493,00"
,,,,,OL052,VOLTAREN KR IOG,1/8/2025,2,"48500,00","3,00%","11,00%","104439,90",
,,,,,OL053,VOLTAREN 20GR KR,1/9/2025,1,"85000,00","3,00%","11,00%","91519,50",
,,,,,OB037,DEGIROL IOS,1/9/2027,10,"10600,00","4,00%","11,00%","112953,60",
,,,,,OB036,DEGIROL 48,1/2/2027,10,"4480,00","5,00%","11,00%","47241,60",
,,,,,OK069,RANITIDINE TAB,1/10/2025,10,"2500,00","28,00%","11,00%","19980,00",
,,,,,OK070,ONDANSENTRON 4 MG,1/9/2025,2,"8400,00","20,00%","11,00%","14918,40",
14/01/2024,42003/2312/396 51,KDE (KARYA DWI ELANG),HUTANG,12/2/2024,OBT005,PANADOL COLD&FLU TAB IOS,1/6/2026,10,"12330,00","3,00%","11,00%","132757,10","264.917,06"
,,,,,OBT006,OBH COMBI ANAR JERUK BATUK PLUS FLU 60ML,1/8/2025,2,"13850,00","3,00%","11,00%","29824,60",
,,,,,OBT007,OBH COMBI ANAR MADU BATUK PLUS FLU 60ML,1/5/2025,2,"13850,00","3,00%","11,00%","29824,60",
,,,,,OBT008,OBH COMBI DEWASA MADU BATUK PLUS FLU 100ML,1/7/2025,2,"16750,00","3,00%","11,00%","36069,46",
,,,,,OBT009,OBH COMBU DEWASA MENTHOL BATUK PLUS PILEK 100ML,1/8/2025,2,"16750,00","2,00%","11,00%","36441,30",
22/01/2024,INV-42003/2401 /55258,KDE (KARYA DWI ELANG),HUTANG,12/3/2024,AK041,BEDAK GAJAH SALICYL MENTHOL IOOG,1/12/2027,3,"6591,00","4,00%","11,00%","21070,11"," 275.790,95"
,,,,,AK042,KF BEDAK SALICYL 60G,1/7/2028,3,"5842,00","3,00%","11,00%","18870,24",
,,,,,OL070,KALPANAX KRIM 5GR,1/7/2025,5,"11712,00","1,00%","11,00%","64351,60",
,,,,,OK077,VOLTADEX 50MG,11/5/2025,10,"2432,40","6,00%","11,00%","25379,70",
,,,,,OB004,SANMOL SYR 60ML 120MG/5ML,1/11/2025,1,"16000,00","2,00%","11,00%","17404,80",
,,,,,H029,MOM UUNG,1/11/2025,2,"49550,50","1,00%","11,00%","108901,00",
,,,,,OB042,PLANTACID SUSP 100ML,1/8/2025,2,"10500,00","15,00%","11,00%","19813,50",
22/01/2024,INV-42003/2401 /55259,KDE (KARYA DWI ELANG),HUTANG,12/3/2024,AK038,ONEMED KASSA STERIL 16X16CM,1/10/2028,3,"5316,00","9,00%","11,00%","16109,07"," 126.637,32"
,,,,,AK039,AVAIL BIRU,1/3/2026,2,"28000,00","4,00%","11,00%","59673,60",
,,,,,AK040,ONEMED KASSA HIDROFIL 10CMM,1/12/2028,5,"9350,00","2,00%","11,00%","50854,65",
22/01/2024,INV-42003/2401 /55260,KDE (KARYA DWI ELANG),HUTANG,12/3/2024,OBT031,HUFAGRIP BP HIJAU,1/9/2026,5,"18767,00","7,00%","11,00%","96865,85"," 96.865,85"
24/01/2024,03516/PJ/01/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,23/02/2024,OK071,SOLINFEC CR 5GR,28/08/2027,3,"7826,61","10,00%","0,00%","21131,85","288.994,45"
,,,,,H017,BATUGIN SYR 120ML,1/2/2025,3,"28915,50","20,00%","0,00%","69397,20",
,,,,,H006,TOLAK LINU HERBAL 15ML,1/4/2025,10,"2757,24","5,00%","0,00%","26193,80",
,,,,,H018,DIAPET ANAK SACHET,30/10/2025,12,"1665,00","3,00%","0,00%","19380,60",
,,,,,VS040,VITACIMIN 2'S ORANGE,1/12/2025,50,"1576,20","3,00%","0,00%","76445,50",
,,,,,VS016,VITACIMIN 2'S LEMON,1/12/2026,50,"1576,20","3,00%","0,00%","76445,50",
28/01/2024,010.012-23.7791 5511,KDE (KARYA DWI ELANG),HUTANG,28/01/2024,OBT006,OBH COMBI ANAK JERUK BATUK PLUS FLU 60ML,1/8/2025,2,"13850,00","3,00%","11,00%","29824,60"," 397.674,16"
,,,,,OBT007,OBH COMBI ANAK MADU BATUK PLUS FLU 60ML,31/05/2025,2,"13850,00","3,00%","11,00%","29824,60",
,,,,,OBT008,OBH COMBI DEWASA MADU BATUK PLUS FLU 100ML,31/07/2024,2,"16750,00","3,00%","11,00%","36069,46",
,,,,,OBT009,OBH COMBU DEWASA MENTHOL BATUK PLUS PILEK 100ML,31/08/2025,2,"16750,00","2,00%","11,00%","36441,30",
,,,,,OBT005,PANADOL COLD&FLU TAB 10'S,30/06/2026,20,"12330,00","3,00%","11,00%","265514,20",
28/01/2024,SI10179786,SSF (SEJAHTERA SURYA FARMA),HUTANG,28/01/2024,OK051,METHYLPREDNISOLON 4 MG TAB,30/04/2025,10,"3387,60","40,00%","0,00%","20325,60","101.404,10"
,,,,,OBT059,PIMTRAKOL STW SYR 60ML,30/11/2025,2,"15784,00","15,00%","0,00%","26832,80",
,,,,,VS034,ASAM FOLAT TAB,30/09/2025,10,"1516,70","30,00%","0,00%","10616,90",
,,,,,OL059,FRESHCARE HOT,30/10/2026,4,"12832,00","15,00%","0,00%","43628,80",
29/01/2024,04152/PJ/01/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,11/3/2024,OK013,CENDO XITROL ED 5ML,1/12/2025,2,"30247,00","9,10%","0,00%","54989,04"," 373.676,99"
,,,,,OBT040,INSTO REG 7.5ML,1/2/2027,3,"12765,00","0,00%","0,00%","38295,00",
,,,,,OK077,VOLTADEX 50MG,11/7/2025,20,"4995,00","40,00%","0,00%","59940,00",
,,,,,OK048,DEXTEEM + TAB,11/6/2027,10,"4440,00","40,00%","0,00%","26640,00",
,,,,,OK046,FARSIFEN 400MG TAB,11/7/2025,10,"2537,00","10,00%","0,00%","22833,00",
,,,,,OK071,SOLINFEC CR 5GR,28/08/2027,5,"7826,61","10,00%","0,00%","35219,75",
,,,,,OL006,VICKS VAPORUB 10GR,1/1/2025,2,"7470,00","0,00%","0,00%","14940,00",
,,,,,OK020,DOLOS (ASMEF),11/2/2026,10,"11474,00","25,00%","0,00%","86055,00",
,,,,,H010,MADU TJ MURNI 150GR,1/10/2026,2,"19314,00","10,00%","0,00%","34765,20",
29/01/2024,INV-42003/2401 /57711,KDE (KARYA DWI ELANG),HUTANG,12/3/2024,OBT022,NEO RHEUMACYL 10'S,1/8/2026,24,"7477,45","2,00%","11,00%","195215,28","757.817,48"
,,,,,H015,VEGETA HERBAL ANGGUR 6'S SACHET,1/4/2025,12,"2502,60","2,00%","11,00%","32667,96",
,,,,,OK068,CATAFLAM 50MG,1/8/2026,5,"59917,60","5,00%","11,00%","315915,55",
,,,,,OK082,ERPHAFLAM,1/11/2026,5,"2930,00","10,00%","11,00%","14635,35",
,,,,,OK083,RENADINAC 50MG,1/9/2025,10,"2850,00","3,00%","11,00%","30686,00",
,,,,,OK084,BISOPROLOL DEXA 5MG,12/5/2026,3,"7600,00","50,00%","11,00%","12654,00",
,,,,,OK008,AMLODIPINE 10MG,1/8/2025,10,"2000,00","35,00%","11,00%","14430,00",
,,,,,H023,LASERIN 110ML,12/2/2027,2,"20010,00","6,00%","11,00%","41756,86",
,,,,,H021,LASERIN SYR 60ML,1/7/2027,2,"11092,00","5,00%","11,00%","23393,02",
,,,,,OB003,OBH COMBI SYR BATUK BERDAHAK 100ML MENTHOL,1/10/2025,2,"12850,00","2,00%","11,00%","27956,46",
,,,,,OBT087,PRORIS 100MG/5ML SUSP 60ML,1/10/2025,2,"23000,00","5,00%","11,00%","48507,00",
29/01/2024,INV-42003/2401 /57712,KDE (KARYA DWI ELANG),HUTANG,12/3/2024,OB004,SANMOL SYR 60ML 120MG/5ML,1/11/2025,3,"16000,00","3,00%","11,00%","51681,60","179.953,68"
,,,,,H026,TILUNG12`S,1/11/2025,2,"23310,00","1,00%","11,00%","51230,72",
,,,,,OL082,MKP LANG 15 ML,1/9/2028,5,"4917,00","4,00%","11,00%","26197,80",
,,,,,OL083,MKP LANG 30 ML,1/9/2028,3,"9000,00","4,00%","11,00%","28771,20",
,,,,,OK081,PONDEX 50MG/5ML SUSP 60ML,1/1/2026,2,"10250,00","3,00%","11,00%","22072,36",
29/01/2024,INV-42003/2401 /57908,KDE (KARYA DWI ELANG),HUTANG,12/3/2024,AK034,AUTOCHECK 3 IN 1,11/1/2024,1,"143000,00","0,00%","11,00%","158730,00"," 158.730,00"
29/01/2024,INV-42003/2401 /57909,KDE (KARYA DWI ELANG),HUTANG,12/3/2024,OBT061,VICKS ANAK SYR 27ML,1/2/2025,2,"8813,00","4,00%","11,00%","18782,26"," 142.854,00"
,,,,,OBT084,VICKS F44 ANAK 54 ML,1/3/2025,2,"16643,00","4,00%","11,00%","35469,56",
,,,,,OBT085,VICKS F44 DWS 27ML,1/4/2025,2,"7982,00","4,00%","11,00%","17011,24",
,,,,,OBT086,VICKS F44 54ML,1/10/2025,2,"15126,00","4,00%","11,00%","32236,54",
,,,,,OBT062,GRANTUSIF TAB,30/06/2027,10,"4431,80","20,00%","11,00%","39354,40",
31/01/2024,04510/PJ/01/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,11/3/2024,AK037,SENSITIF TEST,1/10/2025,5,"23310,00","10,00%","0,00%","104895,00","387.094,11"
,,,,,H005,TOLAK ANGIN MADU 15ML,1/11/2025,36,"3527,48","5,00%","0,00%","120639,96",
,,,,,OK029,SCANAFALM 50 MG,1/5/2026,5,"25038,04","30,00%","0,00%","87633,15",
,,,,,OL055,HOTIN DCL 120GR KR,1/11/2025,2,"31080,00","15,00%","0,00%","52836,00",
,,,,,OK079,"DIGOXIN 0,25MG",11/6/2025,10,"2220,00","5,00%","0,00%","21090,00",
31/01/2024,04516/PJ/01/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,11/3/2024,OK080,DIANE,1/8/2025,1,"163503,36","3,00%","0,00%","158598,26"," 158.598,26"
31/01/2024,INV-42003/2401 /57907,KDE (KARYA DWI ELANG),HUTANG,12/3/2024,OK003,ATORVASTATIN 10MG,1/5/2025,10,"40000,00","75,00%","11,00%","111000,00"," 149.469,70"
,,,,,OK046,FARSIFEN 400MG TAB,1/10/2026,10,"3726,60","7,00%","11,00%","38469,70",
31/01/2024,INV-42003/2401 /58690,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,OK073,VASTIGO,11/6/2025,10,"13000,00","8,00%","11,00%","132756,00"," 283.919,70"
,,,,,OK002,SIMVASTATIN 20MG,31/07/2028,9,"7500,00","30,00%","11,00%","52447,50",
,,,,,OK047,SUCRALFATE SUS,11/7/2027,3,"15450,00","15,00%","11,00%","43731,24",
,,,,,OB014,MYLANTA SUSP 50ML,1/11/2026,4,"12900,00","4,00%","11,00%","54984,96",
31/01/2024,INV-42003/2401 /58692,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,OK076,RHINOS SR,1/9/2025,50,"6700,00","1,00%","11,00%","368131,50"," 421.677,90"
,,,,,OBT008,OBH COMBI DEWASA MADU BATUK PLUS FLU 100ML,1/10/2025,3,"16750,00","4,00%","11,00%","53546,40",
2/2/2024,00266/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,11/3/2024,OBT072,"OBH COMBI PLUS DWS
MENTHOL 60 ML",1/9/2025,2,"13653,00","2,00%","0,00%","26759,88","378.568,88"
,,,,,OBT057,DEMACOLIN SYR 60ML,1/9/2026,2,"14874,00","0,00%","0,00%","29748,00",
,,,,,OBT056,PARATUSIN TAB,1/6/2025,20,"13919,00","5,00%","0,00%","264461,00",
,,,,,OBT052,"WOODS MERAH
ANTITUSSIVE SYR 60ML",1/7/2025,3,"19200,00","0,00%","0,00%","57600,00",
2/2/2024,00268/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,11/3/2024,OB003,OBH COMBI SYR BATUK BERDAHAK 100ML MENTHOL,30/06/2025,2,"14263,00","2,00%","0,00%","27955,48","257.414,86"
,,,,,OL058,HEROCYN 85G,11/11/2028,3,"11322,00","0,00%","0,00%","33966,00",
,,,,,OL043,BETASON N KRIM 5GR,1/7/2025,3,"16483,00","20,00%","0,00%","39559,20",
,,,,,OBT073,OBH NELCO SPC PE 100ML,1/8/2026,2,"26354,09","0,00%","0,00%","52708,18",
,,,,,OL034,COUNTERPAIN 15GR,1/4/2025,2,"25863,00","0,00%","0,00%","51726,00",
,,,,,OBT016,BODREX EXTRA,31/05/2026,25,"2060,00","0,00%","0,00%","51500,00",
5/2/2024,00595/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,11/3/2024,OBT075,INSTO DRY EYE 7ML,4/4/2026,3,"13320,00","0,00%","0,00%","39960,00"," 313.684,90"
,,,,,OK072,MELOXICAM,1/8/2025,10,"14518,00","60,00%","0,00%","58072,00",
,,,,,AK022,TISSUE SUPER MAGIC HITAM 6'S,1/3/2028,5,"11100,00","20,00%","0,00%","44400,00",
,,,,,OL054,HOTIN DCL 60GR KR,11/10/2025,3,"19058,00","15,00%","0,00%","48597,90",
,,,,,OK073,VASTIGO,11/6/2025,10,"14430,00","15,00%","0,00%","122655,00",
5/2/2024,INV-42003/2402 /60086,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,OL039,BENOSON CR 5G,1/11/2027,3,"13636,00","3,00%","11,00%","44045,64","639.243,50"
,,,,,OL040,BENOSON N CR 5G,1/4/2028,3,"16818,00","3,00%","11,00%","54323,82",
,,,,,OK013,CENDO XITROL ED 5ML,1/5/2026,3,"27250,00","11,00%","11,00%","80760,84",
,,,,,OBT037,ROHTO COOL,11/8/2026,3,"14174,00","8,00%","11,00%","43423,47",
,,,,,OBT040,INSTO REG 7.5ML,11/8/2027,3,"11850,00","4,00%","11,00%","37882,08",
,,,,,VS043,NEUROBION FORTE,1/3/2026,5,"37125,00","2,00%","11,00%","201922,90",
,,,,,OB035,PROMAG TAB,1/10/2025,15,"6765,00","2,00%","11,00%","110384,55",
,,,,,OK051,METHYLPREDNISOLON 4 MG TAB,30/04/2025,10,"4005,00","50,00%","11,00%","22227,80",
,,,,,OK074,METHYLPREDNISOLONE 8 MG,11/8/2027,10,"5318,00","25,00%","11,00%","44272,40",
5/2/2024,INV-42003/2402 /60087,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,OBT031,HUFAGRIP BP HIJAU SYRUP 60 ML,1/1/2027,4,"16429,00","7,00%","11,00%","67838,64"," 123.735,64"
,,,,,OBT033,HUFAGRIP PILEK BIRU 60 ML,1/12/2025,4,"13537,00","7,00%","11,00%","55897,00",
9/2/2024,01304/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,11/3/2024,OK039,PIROCAM 20MG,1/10/2028,10,"2775,00","25,00%","0,00%","20812,50"," 276.744,10"
,,,,,OK066,ANASTAN FORTE TAB,1/8/2026,20,"3233,98","0,00%","0,00%","64679,60",
,,,,,OL081,SALEP 88,1/8/2025,12,"11233,00","0,00%","0,00%","134796,00",
,,,,,OK050,LORSON TAB,1/6/2026,10,"7057,00","20,00%","0,00%","56456,00",
9/2/2024,INV-42003/2402 /61934,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,H026,TILUNG12`S,11/3/2025,6,"21650,00","4,00%","11,00%","138421,44","412.271,94"
,,,,,H024,VERMINT CAP 30'S,1/12/2024,6,"22000,00","4,00%","11,00%","140659,20",
,,,,,OL013,SALONPAS KOYO MERAH,1/8/2026,10,"5599,00","5,00%","11,00%","59041,50",
,,,,,OL082,MKP LANG 15 ML,1/7/2028,5,"4917,00","4,00%","11,00%","26197,80",
,,,,,OL083,MKP LANG 30 ML,1/8/2026,5,"9000,00","4,00%","11,00%","47952,00",
9/2/2024,INV-42003/2402 /61936,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,OBT061,VICKS ANAK SYR 27ML,21/02/2025,3,"10470,00","4,00%","11,00%","33470,49"," 33.470,49"
9/2/2024,INV-42003/2420 /61933,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,AK031,OTSU INFUS 25ML,1/11/2025,3,"7634,00","4,00%","11,00%","24404,37"," 884.897,25"
,,,,,OK026,GENOINT 15GR,1/9/2025,3,"4950,00","8,00%","11,00%","15164,82",
,,,,,OBT040,INSTO REG 7.5ML,1/8/2027,5,"11850,00","4,00%","11,00%","63136,80",
,,,,,VS044,HEMAVITON ACTION,11/12/2026,10,"5630,00","4,00%","11,00%","59993,30",
,,,,,OK058,NEURALGIN RX 10'S,11/7/2025,10,"10000,00","20,00%","11,00%","88800,00",
,,,,,OK008,AMLODIPINE 10MG,1/8/2025,50,"2000,00","40,00%","11,00%","66600,00",
,,,,,OK007,AMLODIPINE 5MG,1/8/2025,30,"1500,00","25,00%","11,00%","37462,50",
,,,,,OB004,SANMOL SYR 60ML 120MG/5ML,1/11/2025,10,"16000,00","4,00%","11,00%","170496,00",
,,,,,OK075,TAHESTA CUKA APEL,1/3/2025,2,"46352,00","5,00%","11,00%","97756,36",
,,,,,OB030,TEMPRA SYR 60 ML,1/11/2025,5,"38600,00","3,00%","11,00%","207803,10",
,,,,,OK048,DEXTEEM + TAB,11/10/2027,20,"2500,00","4,00%","11,00%","53280,00",
9/2/2024,INV-42003/2420 /61935,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,OL084,ONE MED RIVANOL 100ML,1/10/2026,5,"2703,00","3,00%","11,00%","14551,60","125.235,47"
,,,,,AK020,HYPAFIX 5CMx1M,11/1/2028,5,"19750,00","4,00%","11,00%","105228,00",
,,,,,AK007,BETADINE SOL. 5ML,1/8/2027,1,"5120,00","4,00%","11,00%","5455,87",
12/2/2024,42003/2312/411 43,KDE (KARYA DWI ELANG),HUTANG,12/2/2024,OBT018,BODREX FLU & BATUK BERDAHAK PE,1/9/2026,25,"1644,12","1,00%","11,00%","45168,00"," 45.168,00"
12/2/2024,42003/2312/412 57,KDE (KARYA DWI ELANG),HUTANG,12/2/2024,OBT011,DECOLGEN 4'S,1/3/2026,25,"1693,72","2,00%","11,00%","46060,75"," 106.596,75"
,,,,,OBT012,DECOLSIN 4'S,1/7/2026,25,"2226,00","2,00%","11,00%","60536,00",
12/2/2024,"INV-42003/2402
/62994",KDE (KARYA DWI ELANG),HUTANG,16/03/2024,AK049,SELSUN BLUE SHAMPO 60ML,1/11/2026,2,"24500,00","25,00%","11,00%","40792,50","412.856,32"
,,,,,OL006,VICKS VAPORUB 10GR,1/8/2025,5,"6729,00","4,00%","11,00%","35852,10",
,,,,,OL009,FRESHCARE CITRUS 10ML,1/11/2026,3,"11560,00","20,00%","11,00%","30795,84",
,,,,,H031,LISTERINE COOL MINT 250ML,1/10/2026,1,"19050,00","4,00%","11,00%","20299,68",
,,,,,H032,LISTERINE FRESH BURST 250ML,1/5/2025,1,"19050,00","4,00%","11,00%","20299,68",
,,,,,AK050,OTSU INFUS 500 ML,1/9/2025,2,"6913,00","2,00%","11,00%","15039,92",
,,,,,OL087,PLOSSA EUCALYPTUS,1/11/2025,2,"10000,00","10,00%","11,00%","19980,00",
,,,,,OL088,PLOSSA RED HOT PANASII,1/9/2025,2,"10000,00","10,00%","11,00%","19980,00",
,,,,,OK089,KETOCONAZOLE GENERIK,1/8/2025,5,"21520,00","4,00%","11,00%","114658,55",
,,,,,OK034,OMEPRAZOL TAB 20 MG,1/9/2025,15,"3712,00","15,00%","11,00%","52534,05",
,,,,,OB029,POLYSILANE SUS 100ML,1/5/2026,2,"20000,00","4,00%","11,00%","42624,00",
12/2/2024,"INV-42003/2402
/62997",KDE (KARYA DWI ELANG),HUTANG,13/03/2024,H030,AL JAZIRA SARI KURMA 360G,1/12/2025,2,"22800,00","15,00%","11,00%","43023,60","43.023,60"
12/2/2024,"INV-42003/2402
/62998",KDE (KARYA DWI ELANG),HUTANG,12/3/2024,AK028,GEA TONGKAT KAKI 3,1/1/2027,1,"95000,00","5,00%","11,00%","100177,50","306.862,92"
,,,,,AK029,PISPOT PLASTIK BIRU BESAR,1/1/2027,1,"26000,00","5,00%","11,00%","27417,00",
,,,,,AK043,THERMO ONE THERMOMETER,12/6/2026,2,"16500,00","1,00%","11,00%","36263,70",
,,,,,AK044,OMRON TERMOMETER,12/1/2027,1,"56200,00","4,00%","11,00%","59886,72",
,,,,,AK045,HUKI COTTON BUD 150`S,1/1/2027,3,"5818,18","10,00%","11,00%","17437,08",
,,,,,AK046,HUKI COTTON BUD 50`S,12/2/2028,2,"4200,00","17,00%","11,00%","7738,92",
,,,,,AK030,ONEMED DR.J UNDERPAD 60X90CM,12/11/2028,20,"2900,00","10,00%","11,00%","57942,00",
12/2/2024,"INV-42003/2402
/62999",KDE (KARYA DWI ELANG),HUTANG,13/03/2024,OK088,TREMENZA,1/11/2025,10,"16000,00","3,00%","11,00%","172272,00","261.516,00"
,,,,,OBT009,OBH COMBU DEWASA MENTHOL BATUK PLUS PILEK 100ML,1/10/2025,5,"16750,00","4,00%","11,00%","89244,00",
15/02/2024,"INV-42003/2402
/64253",KDE (KARYA DWI ELANG),HUTANG,16/03/2024,OL086,FRESHCARE MIX CITRUS,12/8/2025,3,"11560,00","20,00%","11,00%","30795,84","170.003,94"
,,,,,OB010,COOLING 5 CAPPUCHINO 15ML,1/9/2025,2,"32000,00","15,00%","11,00%","60384,00",
,,,,,OB044,WOODS LEMON LOZ SACH 15`S,1/7/2027,15,"4782,00","1,00%","11,00%","78824,10",
15/02/2024,"INV-42003/2402
/64254",KDE (KARYA DWI ELANG),HUTANG,16/03/2024,AK048,HANDSAPLAS ANTISEPTIK SPRAY 40ML,12/8/2026,1,"21455,00","2,00%","11,00%","23338,75","96.750,31"
,,,,,AK047,HANDSAPLAST WOUND CARE OINT 20G,12/5/2026,2,"34091,00","3,00%","11,00%","73411,56",
